grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
んだけど;But..., And...;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%82%93%E3%81%A0%E3%81%91%E3%81%A9-%E3%82%93%E3%81%A7%E3%81%99%E3%81%8C;Phrase (A) + のだ(1) + が(2) + Phrase (B) |  | (1) んだ | (2) けれども、けれど、けども、けど | Phrase (A) + のです(1) + が(2) + Phrase (B) |  | (1) んです | (2) けれども、けれど、けども、けど;;;Standard;んだけど is an expression that combines んだ (explaining/giving cause), with けど (but). Together they translate simply as 'but...', although the nuance is actually closer to 'but with (A) as the reason… (B)', while (B) is sometimes left unsaid. This implies that the speaker is looking for a reply, or does not want to say the (B) part of the sentence out of politeness/awkwardness.;Versions without ん/の are also acceptable but ん/の version is more common nowadays. | んだが, or simply だが is probably the 'strongest' out of these possibilities, and is considered quite masculine. If you are going to use this form, we recommend making sure that your tone is a bit softer, so that it does not sound too authoritative.;「昨日（きのう）の告白（こくはく）はどうなったの？」「こくはくしたんだけど (ふられた)。」;'How did yesterday's confession go?' | 'I confessed but… (I was rejected).';;;が | けど・だけど | ～んです・のです;;
筈（はず）だ;Bound to (be), Expected to (be), Should be (able);N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%A0;Verb + はず + だ | ［い］Adjective + はず + だ | ［な］Adjective + な + はず + だ | Noun + の + はず + だ | Verb + はず + です | ［い］Adjective + はず + です | ［な］Adjective + な + はず + です | Noun + の + はず + です;;;Standard;はず, coming from the kanji 筈（はず）, is a word in Japanese that is very similar to 'bound' in English. This means that it expresses something that the speaker is 'quite sure is true', but cannot confirm. The most common translations of はず are 'bound to be (A)', and 'should be (A)'.;There is also another, even less used kanji for はず：弭。 | Despite はず sometimes being translated as 'should', this is only when you think that something 'should be true', and cannot be used when making suggestions/giving advice. Due to this, 'bound' is the more accurate translation of 筈（はず）, in almost all situations.;彼（かれ）は借（か）りたペンを返（かえ）す筈（はず）だ。;He is bound to return the pen he borrowed. (expected to);;べきではない | はずがない;べき | ことになっている | つもりだ | わけだ | ものだ | たらいい・といい | ばいい;;
かどうか;Whether or not, If...or not;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%A9%E3%81%86%E3%81%8B;Verb + か + どう + か + Phrase | ［い］Adjective + か + どう + か + Phrase | ［な］Adjective + か + どう + か + Phrase | Noun + か + どう + か + Phrase;;;Standard;かどうか is an expression in Japanese which combines the 'or' meaning of か, with the 'how' meaning of どう. (A) かどうか (B) is regularly translated as 'whether or not (A), (B)'.;;旅行（りょこう）に行（い）けるかどうかわからない。;I don't know whether or not I can go on a trip.;か否か;;にしても～にしても | 〜でも 〜でも | Question-phrase + か | か何か | ～ても～なくても | にしろ～にしろ;;
と;If, When, Whenever, And, [Conditional];N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%A8-conditional;Verb + と | ［い］Adjective + と | ［な］Adjective + だ + と | Noun + だ + と;;;Standard;In the same way as the case marking particleと means 'and', sometimes it is translated as 'if'. In these cases, it is considered to be far stronger than ば, なら, or たら (which express hypothetical outcomes). This is because one of the primary uses of と is highlighting a result. In these cases, と is actually a conjunction particle, and shows one of three things.;;勉強（べんきょう）をすると、テストは簡単（かんたん）になる。;If you study, tests become easy.;;;そうすると | もし | ば | たら | すると | なら | ばあいは;;
ないと;Must, Have to;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A8;Verb［ない］+ と + （いけない(1)） |  | (1) だめ | Verb［ない］+ と + （いけません(1)） |  | (1) だめです;;;Casual;As an extension of the 'if' meaning of と, attaching the auxiliary verb ない to the verb before it will express 'if (A) is not done, (B)'. (B) is most frequently いけない 'cannot go', which makes ないといけない a double negative phrase, which translates to 'must do (A)', or 'have to do (A)'.;ないとならない is generally not used and is best avoided | As と has the 'and' nuance, it gives ないと a level of strength that is not seen in similar phrases like なければいけない, or なくてはいけない. Because of this, ないと is often used to highlight things which absolutely 'must' be done (obeying the law, adhering to customs, using common sense, etc.).;「約束（やくそく）を守（まも）らないといけません！」;'You have to keep your promise!' (must);;;なくちゃ・なきゃ | なければいけない | なければならない | べき | なくてはいけない | なくてはならない;;
筈（はず）がない;Hardly possible, Cannot be, Highly unlikely, Improbable;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%8C%E3%81%AA%E3%81%84;Verb + はず + が + ない | ［い］Adjective + はず + が + ない | ［な］Adjective + な + はず + が + ない | Noun + の + はず + が + ない | Verb + はず + が + ありません | ［い］Adjective + はず + が + ありません | ［な］Adjective + な + はず + が + ありません | Noun + の + はず + が + ありません;;;Standard;Like はず, coming from the kanji 筈（はず）, which suggests that something is 'bound' to be true, はずがない suggests that something is 'not bound' to be true. This expression is usually translated as 'hardly possible', 'improbable', or 'unlikely', but in reality, it is a bit weaker than these, and translates more literally to '(A) is not the only possibility'.;There is a big difference in nuance between ないはずだ 'bound not to', and はずがない 'not bound to'. ないはず strongly negates the (A) statement, and expresses the speaker's opinion that it is almost definitely not true. はずがない on the other hand, simply suggests that (A) being almost 100% true is not the case.;この箱（はこ）は重（おも）いはずがない。;It is hardly possible that this box is heavy. (It is not the case that this box is bound to be heavy);;はずだ | わけだ | ないことはない;ことはない | ものか | まじき | ようがない・ようもない | わけではない | わけがない | そうもない;;
しか～ない;There's only, Nothing but;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%97%E3%81%8B-%E3%81%AA%E3%81%84;Noun + しか + Verb［ない］;;;Standard;The adverbial particle しか is often compared to だけ, in that it also expresses 'only'. However, unlike だけ, しか can only be used in negative statements. Due to this, しか～ない is regularly translated as 'there's only (A)', or 'there's nothing but (A)'. しか～ない may be used to express numbers, or nouns. In this lesson we will examine nouns.;When しかない directly follows a verb, the translation is a little bit different, and means that 'nothing apart from (A) can be done'. This is a separate grammar point that we will study a bit later.;座（すわ）るところがここしかありません。;There is nowhere else to sit but here.;だけ;;Number + しか〜ない | にほかならない | だらけ | だけしか | を余儀なくされる | をおいてほかに〜ない | ばかり | きり | でしかない | しかない;;
だけでなく;Not only… but also;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7%E3%81%AA%E3%81%8F;Verb + だけ + でなく(1) | ［い］Adjective + だけ + でなく(1) | ［な］Adjective + な + だけ + でなく(1) | Noun + だけ + でなく(1) |  | (1) ではなく（て）、じゃなく（て）;;;Standard;だけでなく (an abbreviation of だけではなく) is a common construction in Japanese which translates to 'not only (A), but also (B)'. Sometimes the (B) statement may be left unsaid. This expression may connect to any (A) phrase that だけ would usually be able to connect to.;"It is often used together with second noun + particle も (meaning ""also"") in main clause. | The で in では is not the particle で, but the auxiliary verb だ in its conjunctive form. は is regularly dropped from では expressions, or it may also be changed to じゃ, for ease of pronunciation. | In writing, if there is no comma (known as a 読点（とうてん） in Japanese) after なく, the full なくて construction will be required. When a comma is present, both forms are grammatically correct.";ぶどうは甘（あま）いだけでなく、みずみずしい。;Grapes are not only sweet, but also juicy.;のみならず;だけ;にとどまらず | ばかりでなく | はもちろん | だけでなく(て)～も | に限らず | をはじめ;;
ことが出来（でき）る;Can, Be able to;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B;Verb + こと + が + できる | Noun + が + できる | Verb + こと + が + できます | Noun + が + できます;;;Standard;Like ことがある, ことができる is an expression that nominalizes what comes before it (turns it into a noun-phrase), and then highlights something about that (A) phrase. In the case of ことができる, the thing being highlighted about (A) is that it is 'possible'. This translates as 'can do (A)', or 'to be able to do (A)'.;;魚（さかな）のように泳（およ）ぐことができるように毎日（まいにち）練習（れんしゅう）する。;I practice everyday so that I will be able to swim like a fish.;れる・られる (Potential);;;;
かい;Question marker;N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%84;Verb + （の） + かい | ［い］Adjective + （の） + かい | Noun + （なの） + かい | ［な］Adjective + （なの） + かい;;;Casual;The sentence ending particle かい is a grammar structure that is used in Japanese to highlight a question. Despite commonly being thought of as one word, it is actually the combination of か (the sentence-ending particle) and い, another sentence-ending particle that is primarily used by men (in a similar way to ね and よ).;strongly masculine | Because かい is very casual, and quite direct, it often sounds like an accusation. Due to this, care should be taken with your tone of voice, so as not to be taken the wrong way.;本当（ほんとう）に行（い）きたいのかい？;Do you really want to go?;か;;;;
もし;If (For emphasis);N4;8;Possibility vs Necessity;https://bunpro.jp/grammar_points/%E3%82%82%E3%81%97;もし + Phrase［たら］(1) |  | (1) Phrase［ば］、Phrase［と］、Phrase［ても］;;;Standard;もし is an adverb used to emphasize the nuance of 'if', with expressions like と, ば, なら, たら, and ても. Literally, the meaning of もし is close to 'while slight', or 'while small'.;;もし彼（かれ）を動物（どうぶつ）に例（たと）えると、猫（ねこ）に似（に）ています。;If we were to compare him to an animal, he resembles a cat. (Even if you only slightly compared him);;;と | たら | もしも～なら・もしも～でも | たとえ〜ても | ても | ば | なら;;
し (Reasons);And, Giving reasons;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%97-%E3%81%97;Verb (A) + し + （Verb (B) + し） | ［い］Adjective (A) + し + （［い］Adjective (B) + し） | ［な］Adjective (A) + だ + し + （［な］Adjective (B) + だ + し） | Noun (A) + だ + し + （Noun (B) + だ + し）;;;Standard;Like て, し is a conjunction particle. This means that it is used for linking the (A) and (B) parts of a sentence, and describing that link in some way. The 'description' that し will highlight is 'reasons'. Regularly it is translated simply as 'and'.;The last し in a sentence can be replaced with から or ので;彼（かれ）は真面目（まじめ）だし、親切（しんせつ）だし、彼（かれ）と友達（ともだち）でよかった。;He is serious and nice. I am glad that he is my friend.;;;ことだし | じゃあるまいし | Adjective + て + B | から | とか～とか | Verb[て] + B | ので | 上に;;
でできる;Made of, Made from, Produced from, Come from;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%A7%E3%81%8D%E3%82%8B-%E3%81%8B%E3%82%89%E3%81%A7%E3%81%8D%E3%82%8B;Noun + で(1) + できる |  | (1) から | Noun + で(1) + できます |  | (1) から;;;Standard;でできる, or からできる are two structures that share very similar meanings. Basically, they both mean '(B) was made from/out of (A)'. These constructions highlight the 'ingredients', or 'materials' that something is/was made out of. Let's look at some examples.;できている → more specific, できる → more general | There is also a small nuance difference between できる, and できている, when used as part of this construction. できる is usually used when talking about something broadly 'everything in category (B) is made from (A)', while できている is used more frequently when examining a specific item 'this particular (B) is made from (A)'. Like the difference between で and から though, they are largely interchangeable.;裏面（りめん）がガラスでできているスマホは最近（さいきん）売行（うれゆ）きがいい。;Recently there has been demand for smartphones with the back made of glass.;;;によって・による;;
ながら;While ~ing, During, As;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8C%E3%82%89;Verb［stem］+ ながら;;;Standard;ながら is another conjunction particle in Japanese that has two primary different meanings. These meanings are as follows:;The subject of A and B must be the same. | Due to the (B) action being considered the 'primary' action of something that (A) is related to, (A) and (B) must have the same subject.;シャワーを浴（あ）びながらいいアイディアを思（おも）いついた。;While showering, I thought of a good idea.;;;ながらに | とき | 中 | がてら | の間に | つつ | ているあいだに | ついでに | かたわら | うちに | ているところだ;;
～た所（ところ）だ;Just finished doing, Was just doing;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0;Verb［た］(1) + ところ + だ |  | (1) Verb［ていた］ | Verb［た］(1) + ところ + です |  | (1) Verb［ていた］;;;Standard;In a similar way to how ところ (sometimes shortened to とこ) means 'about to (A)', or 'on the verge of (A)', when following the non-past form of a verb, when following the auxiliary verb た, ところ will mean 'just did (A)'.;"ところ can be contracted to とこ in casual conversations. In this use ところ means ""stage/level/situation"" | When the kanji form of 所（ところ） is used, it is often referring to an actual physical location, rather than a situation/standpoint. However, this is something that native speakers will sometimes mistake. Therefore, seeing the kanji form and the hiragana form are both relatively common.";今（いま）食（た）べ終（お）わったところです。;I just (now) finished eating.;;;るところだ | たとたんに | たばかり | たて;;
～ている所（ところ）だ;In the process of doing ~ right now/at this moment;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0;Verb［ている］+ ところ + だ | Verb［ている］+ ところ + です;;;Standard;In the previous grammar point, we learned that たところ (or ていたところ) will mean 'just did (A)', or 'was just doing (A)'. ているところ works in a similar way, but expresses that someone is right in the middle of doing something. It is regularly translated as 'doing (A) right now', or 'in the process of (A)'.;"In this use ところ means ""stage/level/situation"" | Using ているところ will indicate that someone is 'busy with (A)', and would therefore not be used when changing actions suddenly. In these cases ているところだった would be used, before the (B) phrase would further explain what happened next.";今（いま）、映画（えいが）を見（み）ているところです。;I am in the process of watching a movie right now.;;;途中に・途中で | 中 | うちに | とき | ているあいだに | ながら | ついでに | の間に | ～ところに・～ところへ | 最中に | ている①;;
と～と、どちらが;Between ~ which one;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%A8-%E3%81%A8-%E3%81%A9%E3%81%A1%E3%82%89%E3%81%8C;Noun (A) + と + Noun (B) + （と） + どちら(1) + が | Verb1 + こと(2) + と + Verb2 + こと(2) + （と） + どちら(1) + が |  | (1) どちらのほう、どっち、どっちのほう | (2) の;;;Standard;と～と、どちらが is an expression in Japanese that is made from the following parts:;どちらのほう (or どっちのほう) may also be used, but this does not really change the overall nuance. It merely puts slightly more emphasis on the 'direction' of the choice. This is similar to expressions like 'which one are you leaning towards?' in English.;ピザとラーメンとどちらが好（す）きですか。;Between pizza and ramen, which do you prefer?;;;のなかで～がいちばん～;;
様（よう）にする;To try to, To make sure to, To endeavor to;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%99%E3%82%8B;Verb［る］(1) + ように + する |  | (1) Verb［ない］ | Verb［る］(1) + ように + します |  | (1) Verb［ない］;;;Standard;(A) ようにする is an expression in Japanese which combines the auxiliary verb ようだ, with する (indicating that you will 'try' to do something). As ようだ is being linked to the verb する, it will take on its adverbial form, ように. This structure emphasizes that the (A) action (always a verb) is something that the speaker is going out of their way to do, and implies effort.;Specifies end goals;妻（つま）にばれないようにしてくれ！;Try not to let my wife find out about it!;;〜ようとしない;Verb[volitional]とする | ように | ～にする・～くする | てみる | ようになる | ように～てほしい | ことにする;;
なければいけない;Must do, Have to do;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%84%E3%81%91%E3%81%AA%E3%81%84;Verb［ない］ + なければ + いけない | Verb［ない］ + なきゃ + いけない | Verb［ない］ + なければ + いけません | Verb［ない］ + なきゃ + いけません;;;Formal;Like なくてはいけない, なければいけない is a structure that implies that something 'must be done'. However, it is important to remember that this is actually a double negative, and therefore means 'If (A) is not done, it cannot go', or more simply '(A) cannot not be done'.;Verb[ない]+と+いけない/ならない is also used to express duty or necessity. | While いけない (to not be able to go) and ならない (to not become) are quite similar, ならない will rarely be used outside of formal situations, or in writing. Due to this, いけない will be heard much more frequently in speech (when it is not omitted).;仕事（しごと）に行（い）かなければいけない。;I have to go to work.;ねばならない | なくてはいけない | なくてはならない | なくちゃ・なきゃ;べきではない | てはならない | てはいけない;ないと | なければならない;Standard obligation;
なければならない;Must do, Have to do;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84;Verb［ない］ + なければ + ならない | Verb［ない］ + なきゃ + ならない | Verb［ない］ + なければ + なりません | Verb［ない］ + なきゃ + なりません;;;Formal;Like なければいけない, なければならない is a structure that implies that something 'must be done'. However, it is important to remember that this is actually a double negative, and therefore means 'If (A) is not done, it cannot become', or more simply '(A) cannot not be done'.;Verb[ない]+と+いけない/ならない is also used to express duty or necessity. | While いけない (to not be able to go) and ならない (to not become) are quite similar, ならない will rarely be used outside of formal situations, or in writing. Due to this, いけない will be heard much more frequently in speech (when it is not omitted).;先生（せんせい）の話（はなし）を聞（き）かなければならないよ。;You have to listen to the teacher (talk).;なくてはならない | なくちゃ・なきゃ | なくてはいけない | ねばならない;べきではない | てはいけない | てはならない;なければいけない | ないと | ことだ;More formal obligation;
続（つづ）ける;To continue;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%A4%E3%81%A5%E3%81%91%E3%82%8B;Verb［stem］+ 続ける | Verb［stem］+ 続けます;;;Standard;By attaching the verb 続（つづ）ける 'to continue' to the conjunctive form of another verb, we will be able to express that '(A) is continuing'. Let's have a look at a few examples of this structure.;There is a difference in nuance between connecting one verb to another verb through the conjunctive form, or through the use of the conjunction particle て. The former implies that '(A) is being done in the way of (B)', while the latter implies that '(A) is being done, and then (B)'.;テレビを見（み）続（つづ）けるつもりですか。;Do you plan to continue to watch TV?;;;なおす | てくる  | ばかりだ | ている② | 一方だ | ている①;;
様（よう）に言（い）う;To tell, request, or order to do (in such a way);N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%86;Verb + ように + 言（い）う(1) |  | (1) 頼たのむ、命めいじる | Verb + ように + 言（い）います |  | (1) 頼たのみます、命めいじます;;;Standard;ようにいう is an expression which combines the auxiliary verb ようだ, with the う-Verb 言（い）う. This indicates that something is being said in a way that instigates (A). As ようだ is being linked to the verb 言（い）う, it will take on its adverbial form, ように.;;トムに手伝（てつだ）いをするように頼（たの）んだよ。;I requested (in such a way) that Tom help out.;;;ように | ように～てほしい;;
予定（よてい）だ;Plan to, Intend to;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%A6%E3%81%84%E3%81%A0;Verb + 予定 + だ | Noun + の + 予定 + だ | Verb + 予定 + です | Noun + の + 予定 + です;;;Standard;予定（よてい）だ is an expression that functions very similarly to つもりだ 'to intend to do'. The primary difference being that 予定（よてい） is a 'plan', rather than an 'intention'. Due to this, 予定（よてい） is used far more frequently for things that you have formal plans to do (like meeting a friend for lunch).;If だ or です is not added after 予定（よてい）, it will imply that 予定（よてい） is simply modifying the verb/noun that comes before it, rather than being a standalone 'plan'. This is similar to the difference between saying something like 'I have plans to eat with a friend' (natural), vs 'I have an eating with a friend plan' (unnatural).;会議（かいぎ）は月曜日（げつようび）の予定（よてい）です。;The meeting is planned for Monday.;つもりだ;;つもりで;;
様（よう）に祈（いの）る;Pray that/for, Hope that/for, Keep fingers crossed that;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%AE%E3%82%8B;Verb［る］ + ように + 祈（いの）る | Verb［ない］ + ように + 祈（いの）る | Verb［る］ + ように + 祈（いの）ります | Verb［ない］ + ように + 祈（いの）ります;;;Standard;As we have seen several times now, the auxiliary verb ようだ is frequently used with verbs, to express that the 'completion' of an action is the specific goal/wish of the speaker. It does this implicitly through the meaning of the kanji 様（よう） 'manner of doing'.;However, 'unlike' other ように structures, ように祈（いの）る will sometimes be shortened to ように by itself. This is especially true after ます. | This is the only ように structure that will have the verb that comes after it omitted. Therefore, ように (by itself) will always mean 'to hope for', and should not be confused with ようにする, ようになる, ようにいう, and other similar grammar points.;生（い）きてここを出（で）られるように祈（いの）っているんだ。;I am praying that I can leave this place alive.;;;ように;;
～たばかり;Just did, Something just happened;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%B0%E3%81%8B%E3%82%8A;Verb［た］+ ばかり;;;Standard;As an adverbial particle, ばかり usually has one of three basic meanings.;ばっかり, ばっか, ばかし, and ばっかし are all fairly common casual variations of ばかり;今（いま）、家（いえ）を出（で）た許（ばか）りです。;I just left home.;;;たて | たとたんに | たところだ;;
化（か）する;-ification, -ization, To make something, To change, To become, Transform into;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E5%8C%96%E3%81%99%E3%82%8B;Noun + 化（か）(する) | Noun + 化（か） + する(1) + Noun |  | (1) した、の;;;Standard;化（か） by itself is a suffix in Japanese which means 'to change', or 'to transform'. When paired with する, it means 'to transform into (A)', where (A) is the noun that 化（か） is connected to. This structure is regularly translated as '~ification', or '~ization', and similar suffixes in English.;;劣（れっ）化（か）した家（いえ）を立（た）て直（なお）す仕事（しごと）をしたい。;I want a job rebuilding deteriorated homes.;;;～になる・～くなる;;
命令形（めいれいけい）;(Verb)!, Do (something)!;N4;9;Do it Like this, Did it Like that - Advanced;https://bunpro.jp/grammar_points/%E5%91%BD%E4%BB%A4%E5%BD%A2;Examples: | ［る1］Verb ￫ 見（み）る + ろ(1) | ［る5］Verb ￫ 座（すわ）る + れ | ［う］Verb ￫ 歌（うた）う + え | ［く］Verb ￫ 歩（ある）く + け | ［す］Verb ￫ 話（はな）す + せ | ［つ］Verb ￫ 打（う）つ + て | ［ぬ］Verb ￫ 死（し）ぬ + ね | ［ぶ］Verb ￫ 飛（と）ぶ + べ | ［む］Verb ￫ 休（やす）む + め | ［ぐ］Verb ￫ 泳（およ）ぐ + げ |  | Exceptions: | する ￫ しろ2 | くる ￫ こい | くれる ￫ くれ |  | (1) よ | (2) せよ;;;;In Japanese, there are numerous ways to express an order, command, or instruction. The most direct, abrasive, and therefore least used method is called the imperative form, which happens to be one of the basic conjugations of verbs.;Avoid using this conjugation since it might sound rude and threatening.;道路標識（どうろひょうしき）：「止（と）まれ！」;Road sign: 'Stop!';なさい | Verb[て];;ことだ | たらどう;;
様（よう）に;So that, In order to, In such a way that;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB;Verb［る］(1) + ように + Phrase | Verb［できる］(2) + ように + Phrase |  | (1) Verb［ない］ | (2) Verb［できる］［ない］;;;Standard;When partnered with verbs in the potential form, or in the negative form, the auxiliary verb ようだ (in its adverbial form ように) implies that the speaker has a lack of direct control over an outcome, and therefore is 'trying to do (B) in the manner of (A)', but cannot guarantee the result. This grammar point is usually translated as 'to do (A) in such a way that will enable (B)', or 'in order to allow (B)'.;;例（たと）えば風邪（かぜ）を引（ひ）かないように、暖（あたた）かい服装（ふくそう）をする。;For example, I wear warm clothes so that I won't catch a cold.;;;ようになる | ようにする | ように～てほしい | ようにいう | ようにいのる | れる・られる + ままに;;
かしら;I wonder;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%97%E3%82%89;Phrase + かしら;;;Standard;Originally, かしら was an abbreviation of か知（し）らぬ, or かしらん, which are both ways of expressing 'whether it's (A), I don't know'. These days, かしら is a standalone sentence ending particle that works in a similar way to かも, by expressing the speaker's uncertainty about the previous statement.;Although the original forms of か知（し）らぬ, or かしらん were useable by anybody, かしら is thought to be very feminine in modern Japanese, and therefore is not often used by men.;今日（きょう）は雨（あめ）が降（ふ）るかしら。;I wonder if it will rain today.;;;かな | ～のだろうか;Soft / feminine;
らしい ②;typical of, -ish・like, appropriate for, becoming of, befitting;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%842;Noun + らしい。 | Noun + らしく + Phrase | Noun + らしい + Noun | Noun + らしい + です。 | Noun + らしく + Phrase | Noun + らしい + Noun;;;Standard;In our first らしい lesson, we discussed the auxiliary verb use of らしい. In this lesson we will focus on the 形容詞（けいようし）の一部（いちぶ） (auxiliary adjective) usage. An auxiliary adjective is a type of adjective that must be attached to another word for it to have any meaning.;;「もっと大人（おとな）らしくしなさいよ！」;'Behave more like an adult!' (befitting of);;;なりに | 風 | べくして | Noun＋型 | めく・めいた | ならでは | みたいに・みたいな | らしい ① | っぽい | ～(の)姿;;
にみえる;To look, To seem, To appear;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%BF%E3%81%88%E3%82%8B;Verb + よう(1) + に + みえる | ［い］Adjective［い］+ そうに(2) + みえる | ［な］Adjective + （そう） + に + みえる | Noun + （の + よう(1)）+ に + みえる |  | (1) みたい | (2) く | Verb + よう(1) + に + みえます | ［い］Adjective［い］+ そうに(2) + みえます | ［な］Adjective + （そう） + に + みえます | Noun + （の + よう(1)）+ に + みえます |  | (1) みたい | (2) く;;;Standard;にみえる (primarily written only in hiragana) is a phrase that combines the case marking particleに, with the る-Verb 見（み）える 'to appear', or 'to be visible'. This construction is regularly used with nouns, to show that something 'appears to be (A)', but it may also be partnered with the auxiliary verbs ようだ or そうだ (in their adverbial forms ように and そうに) to add a level of uncertainty. In these cases, it sounds closer to 'to seem to be (A)' in English.;In grammar constructions like this, kanji will very rarely be used. This is primarily because it will change the way a native speaker perceives the meaning. Many grammar structures are written purely in hiragana, specifically to express that they are a 'set' construction. Adding kanji can lead a reader to assume that the writer is highlighting the kanji's meaning, rather than the more common grammatical meaning.;彼（かれ）は忙（いそが）しそうにみえる。;He looks/appears busy.;;;みたい | ようだ | がする | ～(の)姿 | そう  | そうに・そうな  | のように・のような  | らしい ① | ように・ような | とみえる;;
と見（み）える;It seems that, It can be deduced, One can conclude that;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%BF%E3%81%88%E3%82%8B;Verb + とみえる | ［い］Adjective + とみえる | ［な］Adjective + （だ） + とみえる | Noun + （だ） + とみえる | Verb + とみえます | ［い］Adjective + とみえます | ［な］Adjective + （だ） + とみえます | Noun + （だ） + とみえます;;;Standard;とみえる (primarily written only in hiragana) is a phrase that combines the case marking particle と, with the る-Verb見（み）える 'to appear', or 'to be visible'.;;あの親（おや）は優（やさ）しいとみえる。;Those parents seem nice.;;;らしい ① | ようだ | にみえる;;
風（ふう）;-style, Way, Fashion;N4;10;Seems Like, Could Be - Advanced;https://bunpro.jp/grammar_points/%E9%A2%A8;Noun + 風（ふう） | Noun + 風（ふう） + （の） + Noun;;;Standard;風（ふう） is a suffix that is used in Japanese to convey the meaning of 'in the style of (A)', or 'in the fashion of (A)'. Literally, this translates to 'in the wind of (A)', which is just the Japanese way of expressing the former statements.;"風 is read ""ふう"", not ""かぜ"" | As a compound structure, this suffix is always pronounced ふう, never かぜ (the standard reading of 風（かぜ）).";お母（かあ）さんはオランダ風（ふう）のサラダが好（す）きだよ。;My mother likes Dutch-style salad.;;;みたいに・みたいな | 的 | らしい ② | Noun＋型 | ように・ような;;
